,Film,Year,Award,Nomination
498,Indiana Jones and the Last Crusade,1989,1,3
499,Henry V,1989,1,3
500,The Johnstown Flood,1989,1,1
501,Common Threads: Stories from the Quilt,1989,1,1
502,Cinema Paradiso,1989,1,1
503,Work Experience,1989,1,1
504,Batman,1989,1,1
505,Balance,1989,1,1
506,Rain Man,1988,4,8
507,Dangerous Liaisons,1988,3,7
508,Who Framed Roger Rabbit,1988,3 (1),6
509,Mississippi Burning,1988,1,7
510,Working Girl,1988,1,6
511,The Accidental Tourist,1988,1,4
512,A Fish Called Wanda,1988,1,3
513,Pelle the Conqueror,1988,1,2
514,The Accused,1988,1,1
515,The Appointments of Dennis Jennings,1988,1,1
516,Beetlejuice,1988,1,1
517,Bird,1988,1,1
518,Hôtel Terminus: The Life and Times of Klaus Barbie,1988,1,1
519,The Milagro Beanfield War,1988,1,1
520,Tin Toy,1988,1,1
521,You Don't Have to Die,1988,1,1
522,The Last Emperor,1987,9,9
523,Moonstruck,1987,3,6
524,The Untouchables,1987,1,4
525,Babette's Feast,1987,1,1
526,Dirty Dancing,1987,1,1
527,Harry and the Hendersons,1987,1,1
528,Innerspace,1987,1,1
529,The Man Who Planted Trees,1987,1,1
530,Ray's Male Heterosexual Dance Hall,1987,1,1
531,The Ten-Year Lunch,1987,1,1
532,Wall Street,1987,1,1
533,Young at Heart,1987,1,1
534,RoboCop,1987,0 (1),2
535,Platoon,1986,4,8
536,A Room with a View,1986,3,8
537,Hannah and Her Sisters,1986,3,7
538,Aliens,1986,2,7
539,The Mission,1986,1,7
540,Children of a Lesser God,1986,1,5
541,The Color of Money,1986,1,4
542,Top Gun,1986,1,4
543,Round Midnight,1986,1,2
544,Artie Shaw: Time Is All You've Got,1986,1,1
545,The Assault,1986,1,1
546,Down and Out in America,1986,1,1
547,The Fly,1986,1,1
548,A Greek Tragedy,1986,1,1
549,Precious Images,1986,1,1
550,"Women – for America, for the World",1986,1,1
551,Out of Africa,1985,7,11
552,Witness,1985,2,8
553,Cocoon,1985,2,2
554,Prizzi's Honor,1985,1,8
555,Back to the Future,1985,1,4
556,Kiss of the Spider Woman,1985,1,4
557,Ran,1985,1,4
558,The Official Story,1985,1,2
